term	valence	score	VADER-score	standard deviation	human raters
$:	negative	-0,375	-1,5	0.80623	[-1, -1, -1, -1, -3, -1, -3, -1, -2, -1]
%)	negative	-0,1	-0,4	1.0198	[-1, 0, -1, 0, 0, -2, -1, 2, -1, 0]
%-)	negative	-0,375	-1,5	1.43178	[-2, 0, -2, -2, -1, 2, -2, -3, -2, -3]
&-:	negative	-0,1	-0,4	1.42829	[-3, -1, 0, 0, -1, -1, -1, 2, -1, 2]
&:	negative	-0,175	-0,7	0.64031	[0, -1, -1, -1, 1, -1, -1, -1, -1, -1]
( '}{' )	positive	0,4	1,6	0.66332	[1, 2, 2, 1, 1, 2, 2, 1, 3, 1]
(%	negative	-0,225	-0,9	0.9434	[0, 0, 1, -1, -1, -1, -2, -2, -1, -2]
('-:	positive	0,55	2,2	1.16619	[4, 1, 4, 3, 1, 2, 3, 1, 2, 1]
(':	positive	0,575	2,3	0.9	[1, 3, 3, 2, 2, 4, 2, 3, 1, 2]
((-:	positive	0,525	2,1	0.53852	[2, 2, 2, 1, 2, 3, 2, 2, 3, 2]
(*	positive	0,275	1,1	1.13578	[2, 1, 1, -1, 1, 2, 2, -1, 2, 2]
(-%	negative	-0,175	-0,7	1.26886	[-1, 2, 0, -1, -1, -2, 0, 0, -3, -1]
(-*	positive	0,325	1,3	1.26886	[4, 1, 2, 0, 2, -1, 1, 2, 1, 1]
(-:	positive	0,4	1,6	0.8	[2, 2, 1, 3, 1, 1, 1, 3, 1, 1]
(-:0	positive	0,7	2,8	0.87178	[3, 2, 3, 4, 3, 2, 3, 1, 4, 3]
(-:<	negative	-0,1	-0,4	2.15407	[-3, 3, -1, -1, 2, -1, -2, 3, -3, -1]
(-:o	positive	0,375	1,5	0.67082	[3, 1, 1, 2, 2, 2, 1, 1, 1, 1]
(-:O	positive	0,375	1,5	0.67082	[3, 1, 1, 2, 2, 2, 1, 1, 1, 1]
(-:{	negative	-0,025	-0,1	1.57797	[-2, -3, 1, -2, 1, 1, 0, 0, 2, 1]
(-:|>*	positive	0,475	1,9	0.83066	[3, 2, 2, 1, 0, 2, 3, 2, 2, 2]
(-;	positive	0,325	1,3	1.18743	[3, 2, 3, 0, 1, -1, 1, 2, 1, 1]
(-;|	positive	0,525	2,1	1.13578	[3, 2, 2, 4, 1, 1, 1, 4, 2, 1]
(8	positive	0,65	2,6	1.0198	[4, 2, 1, 3, 3, 3, 3, 1, 2, 4]
(:	positive	0,55	2,2	1.16619	[3, 1, 1, 2, 1, 2, 4, 3, 4, 1]
(:0	positive	0,6	2,4	1.11355	[0, 2, 3, 4, 3, 2, 3, 3, 1, 3]
(:<	negative	-0,05	-0,2	2.03961	[-2, -3, 1, 1, 2, -1, 2, 1, -4, 1]
(:o	positive	0,625	2,5	0.92195	[3, 3, 1, 3, 3, 1, 2, 2, 4, 3]
(:O	positive	0,625	2,5	0.92195	[3, 3, 1, 3, 3, 1, 2, 2, 4, 3]
(;	positive	0,275	1,1	1.22066	[3, 1, 1, -1, 1, 2, 2, -1, 1, 2]
(;<	positive	0,075	0,3	1.00499	[1, 2, -1, -1, 0, 0, 1, -1, 1, 1]
(=	positive	0,55	2,2	1.16619	[3, 1, 2, 2, 1, 1, 4, 3, 4, 1]
(?:	positive	0,525	2,1	0.83066	[2, 2, 1, 3, 2, 2, 4, 1, 2, 2]
(^:	positive	0,375	1,5	0.67082	[1, 2, 2, 1, 3, 2, 1, 1, 1, 1]
(^;	positive	0,375	1,5	0.5	[1, 2, 2, 1, 2, 1, 2, 1, 1, 2]
(^;0	positive	0,5	2	0.7746	[2, 2, 1, 2, 1, 4, 2, 2, 2, 2]
(^;o	positive	0,475	1,9	0.83066	[2, 2, 1, 2, 1, 4, 2, 1, 2, 2]
(o:	positive	0,4	1,6	0.8	[2, 1, 3, 1, 1, 1, 2, 3, 1, 1]
)':	negative	-0,5	-2	0.44721	[-2, -2, -2, -2, -1, -3, -2, -2, -2, -2]
)-':	negative	-0,525	-2,1	0.53852	[-2, -2, -3, -2, -1, -2, -3, -2, -2, -2]
)-:	negative	-0,525	-2,1	0.9434	[-3, -2, -4, -1, -3, -2, -2, -2, -1, -1]
)-:<	negative	-0,55	-2,2	0.4	[-2, -2, -2, -2, -2, -2, -3, -3, -2, -2]
)-:{	negative	-0,525	-2,1	0.9434	[-1, -3, -2, -1, -2, -2, -3, -4, -1, -2]
):	negative	-0,45	-1,8	0.87178	[-1, -3, -1, -2, -1, -3, -1, -3, -1, -2]
):<	negative	-0,475	-1,9	0.53852	[-1, -3, -2, -2, -2, -1, -2, -2, -2, -2]
):{	negative	-0,575	-2,3	0.78102	[-1, -2, -3, -3, -2, -2, -4, -2, -2, -2]
);<	negative	-0,65	-2,6	0.8	[-2, -2, -2, -3, -2, -3, -2, -2, -4, -4]
*)	positive	0,15	0,6	1.42829	[1, -1, 1, -3, 1, 1, 2, 1, 1, 2]
*-)	positive	0,075	0,3	1.61555	[1, -3, -2, 2, 1, 1, -1, 2, 1, 1]
*-:	positive	0,525	2,1	1.51327	[2, 2, 4, 4, 2, 1, -1, 4, 1, 2]
*-;	positive	0,6	2,4	1.62481	[2, 3, 4, 4, 2, 1, -1, 4, 1, 4]
*:	positive	0,475	1,9	1.04403	[2, 1, 1, 3, 1, 2, 4, 3, 1, 1]
*<|:-)	positive	0,4	1,6	1.28062	[0, 1, 3, 1, 1, 2, 3, 0, 4, 1]
*\0/*	positive	0,575	2,3	1.00499	[2, 0, 3, 1, 3, 3, 2, 3, 3, 3]
*^:	positive	0,4	1,6	1.42829	[2, 2, 1, 3, 2, 2, 3, 3, -1, -1]
,-:	positive	0,3	1,2	0.4	[1, 1, 2, 1, 1, 1, 1, 1, 2, 1]
---'-;-{@	positive	0,575	2,3	1.18743	[0, 1, 3, 4, 2, 3, 2, 2, 2, 4]
--<--<@	positive	0,55	2,2	1.249	[0, 1, 2, 4, 2, 1, 3, 2, 3, 4]
.-:	negative	-0,3	-1,2	0.4	[-1, -1, -1, -1, -1, -1, -2, -1, -2, -1]
..###-:	negative	-0,425	-1,7	0.78102	[-2, -3, -3, -2, -1, -1, -1, -1, -1, -2]
..###:	negative	-0,475	-1,9	1.04403	[-4, -1, -3, -1, -2, -2, -1, -3, -1, -1]
/-:	negative	-0,325	-1,3	0.64031	[-1, -1, -1, -1, -1, -1, -1, -2, -3, -1]
/:	negative	-0,325	-1,3	0.45826	[-2, -1, -1, -1, -2, -1, -1, -2, -1, -1]
/:<	negative	-0,35	-1,4	0.4899	[-1, -2, -2, -1, -1, -1, -1, -1, -2, -2]
/=	negative	-0,225	-0,9	0.53852	[-1, -1, -1, 0, -1, -2, -1, -1, -1, 0]
/^:	negative	-0,25	-1	0.7746	[-2, -1, -2, 1, -1, -1, -1, -1, -1, -1]
/o:	negative	-0,35	-1,4	0.66332	[0, -2, -1, -1, -2, -2, -1, -2, -1, -2]
0-8	positive	0,025	0,1	1.44568	[2, -1, -2, 0, 2, 0, 2, 0, -2, 0]
0-|	negative	-0,3	-1,2	0.4	[-2, -1, -1, -1, -1, -1, -1, -1, -2, -1]
0:)	positive	0,475	1,9	1.04403	[2, 2, 2, 1, 0, 2, 4, 1, 3, 2]
0:-)	positive	0,35	1,4	0.91652	[2, 1, 0, 1, 2, 3, 2, 1, 2, 0]
0:-3	positive	0,375	1,5	0.92195	[2, 1, 0, 2, 2, 3, 2, 1, 2, 0]
00:03	positive	11:24	1,9	1.22066	[2, 3, 2, 0, 0, 1, 4, 2, 3, 2]
0;^)	positive	0,4	1,6	0.91652	[0, 1, 3, 1, 2, 1, 2, 1, 2, 3]
0_o	negative	-0,075	-0,3	0.78102	[0, -2, 0, 1, 0, 0, -1, 0, -1, 0]
10q	positive	0,525	2,1	1.22066	[1, 3, 1, 2, 1, 4, 3, 4, 1, 1]
1337	positive	0,525	2,1	1.13578	[3, 1, 4, 0, 2, 3, 1, 2, 2, 3]
143	positive	0,8	3,2	0.74833	[4, 4, 2, 3, 2, 3, 4, 3, 4, 3]
1432	positive	0,65	2,6	0.8	[4, 3, 3, 2, 2, 4, 2, 2, 2, 2]
14aa41	positive	0,6	2,4	0.91652	[3, 2, 2, 4, 2, 2, 1, 2, 4, 2]
182	negative	-0,725	-2,9	1.3	[-4, 0, -3, -3, -1, -3, -4, -4, -4, -3]
187	negative	-0,775	-3,1	1.22066	[-4, 0, -4, -3, -2, -4, -3, -3, -4, -4]
2g2b4g	positive	0,7	2,8	0.6	[4, 2, 3, 2, 3, 3, 3, 3, 2, 3]
2g2bt	negative	-0,025	-0,1	1.57797	[-1, 2, -1, 1, 0, 2, 0, -3, -2, 1]
2qt	positive	0,525	2,1	0.83066	[3, 3, 3, 3, 2, 1, 2, 1, 2, 1]
3:(	negative	-0,55	-2,2	0.87178	[-4, -3, -2, -3, -2, -1, -1, -2, -2, -2]
3:)	positive	0,125	0,5	1.28452	[-2, 1, -2, 1, 1, 1, 1, 2, 1, 1]
3:-(	negative	-0,575	-2,3	0.78102	[-2, -3, -2, -2, -2, -2, -4, -1, -3, -2]
3:-)	negative	-0,35	-1,4	1.35647	[-1, -2, 1, 1, -2, -2, -3, -1, -3, -2]
4col	negative	-0,55	-2,2	1.16619	[-2, -3, -1, -3, -4, -1, -2, -1, -4, -1]
4q	negative	-0,775	-3,1	1.51327	[-3, -3, -4, -2, -4, -4, -4, 1, -4, -4]
5fs	positive	0,375	1,5	1.11803	[1, 2, 1, 1, 2, 3, 2, 3, -1, 1]
8)	positive	0,475	1,9	0.7	[2, 2, 2, 1, 1, 2, 2, 3, 3, 1]
8-d	positive	0,425	1,7	0.64031	[1, 2, 0, 2, 2, 2, 2, 2, 2, 2]
8-o	negative	-0,075	-0,3	0.78102	[1, -1, 0, 0, 0, -1, 0, -2, 0, 0]
86	negative	-0,4	-1,6	1.0198	[-1, -1, -1, -1, -1, -4, -1, -2, -1, -3]
8d	positive	0,725	2,9	0.53852	[3, 3, 4, 2, 3, 3, 3, 3, 2, 3]
:###..	negative	-0,6	-2,4	0.91652	[-3, -2, -4, -3, -1, -2, -2, -3, -1, -3]
:$	negative	-0,05	-0,2	1.83303	[-2, -1, 0, 0, -1, 1, 4, -3, 1, -1]
:&	negative	-0,15	-0,6	1.0198	[-2, -1, 0, 0, -1, -1, 1, -2, 1, -1]
:'(	negative	-0,55	-2,2	0.74833	[-2, -1, -2, -2, -2, -2, -4, -3, -2, -2]
:')	positive	0,575	2,3	0.78102	[3, 1, 3, 2, 2, 2, 2, 4, 2, 2]
:'-(	negative	-0,6	-2,4	0.66332	[-2, -1, -2, -3, -2, -3, -3, -3, -2, -3]
:'-)	positive	0,675	2,7	0.64031	[2, 1, 3, 3, 3, 3, 3, 3, 3, 3]
:(	negative	-0,475	-1,9	1.13578	[-2, -3, -2, 0, -1, -1, -2, -3, -1, -4]
:)	positive	0,5	2	1.18322	[2, 2, 1, 1, 1, 1, 4, 3, 4, 1]
:*	positive	0,625	2,5	1.0247	[3, 2, 1, 1, 2, 3, 4, 3, 4, 2]
:-###..	negative	-0,625	-2,5	0.92195	[-3, -2, -3, -2, -4, -3, -1, -3, -1, -3]
:-&	negative	-0,125	-0,5	0.92195	[-1, -1, 0, -1, -1, -1, -1, 0, 2, -1]
:-(	negative	-0,375	-1,5	0.5	[-2, -1, -1, -1, -2, -2, -2, -1, -2, -1]
:-)	positive	0,325	1,3	0.45826	[1, 1, 1, 1, 2, 1, 2, 1, 2, 1]
:-))	positive	0,7	2,8	1.07703	[3, 4, 4, 1, 2, 2, 4, 2, 4, 2]
:-*	positive	0,425	1,7	0.64031	[1, 2, 1, 1, 1, 3, 2, 2, 2, 2]
:-,	positive	0,275	1,1	0.53852	[1, 1, 1, 0, 1, 1, 1, 1, 2, 2]
:-.	negative	-0,225	-0,9	0.53852	[-1, -1, 0, -1, 0, -1, -1, -1, -2, -1]
:-/	negative	-0,3	-1,2	0.6	[0, -1, -1, -1, -1, -2, -2, -1, -1, -2]
:-<	negative	-0,375	-1,5	0.5	[-2, -1, -1, -2, -1, -2, -2, -1, -2, -1]
:-d	positive	0,575	2,3	0.45826	[2, 2, 3, 3, 2, 3, 2, 2, 2, 2]
:-D	positive	0,575	2,3	0.45826	[2, 2, 3, 3, 2, 3, 2, 2, 2, 2]
:-o	positive	0,025	0,1	1.3	[2, -1, -2, 0, 1, 1, 2, 0, -1, -1]
:-p	positive	0,3	1,2	0.4	[1, 2, 1, 1, 1, 1, 2, 1, 1, 1]
:-[	negative	-0,4	-1,6	0.4899	[-1, -2, -1, -2, -2, -1, -2, -1, -2, -2]
:-\	negative	-0,225	-0,9	0.3	[-1, -1, -1, -1, -1, -1, -1, 0, -1, -1]
:-c	negative	-0,325	-1,3	0.45826	[-1, -1, -1, -2, -2, -1, -2, -1, -1, -1]
:-p	positive	0,375	1,5	0.5	[1, 1, 1, 1, 1, 2, 2, 2, 2, 2]
:-|	negative	-0,175	-0,7	0.64031	[-1, -1, 0, 0, 0, -1, -1, -2, 0, -1]
:-||	negative	-0,625	-2,5	0.67082	[-2, -2, -2, -3, -2, -3, -3, -2, -2, -4]
:-Þ	positive	0,225	0,9	1.04403	[1, -1, 1, 2, 1, -1, 1, 2, 2, 1]
:/	negative	-0,35	-1,4	0.66332	[-1, -1, -1, -1, -1, -1, -3, -2, -2, -1]
:3	positive	0,575	2,3	1.26886	[4, 1, 1, 1, 2, 2, 4, 3, 4, 1]
:<	negative	-0,525	-2,1	0.7	[-3, -1, -2, -2, -2, -2, -3, -3, -2, -1]
:>	positive	0,525	2,1	1.22066	[3, 1, 1, 1, 1, 2, 4, 3, 4, 1]
:?)	positive	0,325	1,3	0.64031	[3, 1, 1, 1, 1, 2, 1, 1, 1, 1]
:?c	negative	-0,4	-1,6	0.4899	[-1, -2, -1, -1, -2, -2, -1, -2, -2, -2]
:@	negative	-0,625	-2,5	0.80623	[-1, -3, -3, -2, -1, -3, -3, -3, -3, -3]
:d	positive	0,575	2,3	1.1	[4, 2, 2, 1, 2, 1, 4, 3, 3, 1]
:D	positive	0,575	2,3	1.1	[4, 2, 2, 1, 2, 1, 4, 3, 3, 1]
:l	negative	-0,425	-1,7	0.9	[-1, -3, -1, -1, -1, -3, -2, -3, -1, -1]
:o	negative	-0,1	-0,4	1.35647	[2, -1, -2, 0, 1, 0, -3, 0, -1, 0]
:p	positive	0,25	1	0.7746	[-1, 1, 1, 1, 1, 1, 2, 1, 2, 1]
:s	negative	-0,3	-1,2	0.9798	[-2, -2, -1, -1, -1, 1, -3, -1, -1, -1]
:[	negative	-0,5	-2	0.63246	[-2, -2, -1, -2, -2, -3, -3, -2, -1, -2]
:\	negative	-0,325	-1,3	0.45826	[-2, -1, -1, -1, -1, -1, -2, -1, -1, -2]
:]	positive	0,55	2,2	1.16619	[3, 1, 1, 1, 3, 1, 4, 2, 2, 4]
:^)	positive	0,525	2,1	1.13578	[3, 2, 4, 1, 1, 1, 1, 2, 4, 2]
:^*	positive	0,65	2,6	0.91652	[2, 1, 2, 3, 4, 4, 3, 2, 3, 2]
:^/	negative	-0,3	-1,2	0.6	[-2, -1, -2, 0, -1, -1, -1, -1, -2, -1]
:^\	negative	-0,25	-1	0.44721	[-1, -1, -1, -1, -1, -2, 0, -1, -1, -1]
:^|	negative	-0,25	-1	0.0	[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]
:c	negative	-0,525	-2,1	0.83066	[-3, -2, -1, -2, -2, -1, -3, -3, -3, -1]
:c)	positive	0,5	2	1.18322	[2, 1, 1, 1, 1, 2, 3, 4, 4, 1]
:o)	positive	0,525	2,1	0.9434	[1, 3, 3, 1, 1, 3, 2, 3, 1, 3]
:o/	negative	-0,35	-1,4	0.4899	[-1, -1, -1, -2, -1, -1, -2, -2, -1, -2]
:o\	negative	-0,275	-1,1	0.3	[-1, -1, -1, -2, -1, -1, -1, -1, -1, -1]
:o|	negative	-0,15	-0,6	1.0198	[0, 0, 0, 0, -1, 0, 0, -3, 0, -2]
:P	positive	0,35	1,4	0.8	[3, 1, 0, 2, 1, 1, 2, 2, 1, 1]
:{	negative	-0,475	-1,9	0.83066	[-2, -1, -1, -2, -2, -1, -3, -3, -3, -1]
:|	negative	-0,1	-0,4	1.11355	[-1, -1, 0, -1, -1, -1, 1, -2, 2, 0]
:}	positive	0,525	2,1	1.22066	[3, 1, 1, 1, 2, 1, 4, 3, 4, 1]
:Þ	positive	0,275	1,1	0.53852	[1, 1, 1, 1, 0, 1, 1, 2, 2, 1]
;)	positive	0,225	0,9	1.04403	[2, -1, 1, 1, 1, 1, -1, 2, 2, 1]
;-)	positive	0,25	1	1.73205	[1, -2, 1, -2, 1, 4, 2, 1, 2, 2]
;-*	positive	0,55	2,2	0.74833	[2, 2, 1, 3, 4, 2, 2, 2, 2, 2]
;-]	positive	0,175	0,7	1.67631	[1, -2, 1, -3, 1, 2, 2, 1, 2, 2]
;d	positive	0,2	0,8	1.249	[2, -1, 2, 1, 1, 1, -2, 2, 1, 1]
;D	positive	0,2	0,8	1.249	[2, -1, 2, 1, 1, 1, -2, 2, 1, 1]
;]	positive	0,15	0,6	1.11355	[1, -1, 1, 1, 1, 1, -2, 2, 1, 1]
;^)	positive	0,35	1,4	0.91652	[2, 2, 1, 2, 1, 2, -1, 1, 2, 2]
</3	negative	-0,75	-3	1.0	[-3, -3, -4, -3, -4, -1, -2, -2, -4, -4]
<3	positive	0,475	1,9	1.13578	[3, 2, 1, 3, 1, 4, 2, 0, 1, 2]
<:	positive	0,525	2,1	1.13578	[3, 2, 4, 1, 1, 1, 1, 2, 4, 2]
<:-|	negative	-0,35	-1,4	0.66332	[-1, -1, -1, -2, -2, -1, -3, -1, -1, -1]
=)	positive	0,55	2,2	1.16619	[4, 2, 3, 3, 2, 1, 1, 4, 1, 1]
-3	positive	0,5	2	0.63246	[2, 2, 2, 3, 1, 3, 1, 2, 2, 2]
#NAME?	positive	0,6	2,4	0.91652	[2, 2, 1, 3, 2, 4, 2, 4, 2, 2]
#NAME?	positive	0,6	2,4	0.91652	[2, 2, 1, 3, 2, 4, 2, 4, 2, 2]
=/	negative	-0,35	-1,4	0.91652	[-1, -1, -1, -1, -1, -2, -1, -1, -4, -1]
3	positive	0,525	2,1	0.7	[3, 1, 2, 1, 2, 3, 2, 2, 3, 2]
#NAME?	positive	0,575	2,3	0.45826	[3, 2, 2, 2, 2, 3, 2, 2, 2, 3]
#NAME?	positive	0,575	2,3	0.45826	[3, 2, 2, 2, 2, 3, 2, 2, 2, 3]
#NAME?	negative	-0,3	-1,2	0.6	[-2, -1, -1, 0, -2, -1, -2, -1, -1, -1]
#NAME?	negative	-0,3	-1,2	0.6	[-2, -1, -1, 0, -2, -1, -2, -1, -1, -1]
=]	positive	0,4	1,6	0.8	[2, 1, 3, 1, 1, 1, 2, 3, 1, 1]
#NAME?	positive	0,325	1,3	0.9	[2, 1, 2, 1, 2, -1, 1, 2, 2, 1]
=|	negative	-0,2	-0,8	0.87178	[-2, -1, -2, 1, 0, -1, 0, -1, -1, -1]
>-:	negative	-0,5	-2	0.89443	[-2, -3, -2, -4, -1, -1, -1, -2, -2, -2]
>.<	negative	-0,325	-1,3	0.45826	[-1, -2, -1, -2, -2, -1, -1, -1, -1, -1]
>:	negative	-0,525	-2,1	1.13578	[-4, -1, -1, -4, -2, -3, -1, -1, -2, -2]
>:(	negative	-0,675	-2,7	0.64031	[-2, -3, -2, -3, -3, -2, -4, -2, -3, -3]
>:)	positive	0,1	0,4	1.42829	[1, 1, 2, 1, -1, -2, 1, 2, -2, 1]
>:-(	negative	-0,675	-2,7	0.78102	[-3, -2, -3, -2, -4, -2, -3, -2, -2, -4]
>:-)	negative	-0,1	-0,4	1.68523	[1, 2, 1, -2, -2, -1, -1, -3, -1, 2]
>:/	negative	-0,4	-1,6	0.8	[-1, -2, -1, -3, -1, -1, -1, -1, -2, -3]
>:o	negative	-0,3	-1,2	1.16619	[-3, -1, -2, 0, -2, -2, 0, -1, 1, -2]
>:p	positive	0,25	1	0.7746	[-1, 1, 1, 2, 1, 2, 1, 1, 1, 1]
>:[	negative	-0,525	-2,1	0.53852	[-2, -2, -2, -2, -3, -3, -2, -1, -2, -2]
>:\	negative	-0,425	-1,7	0.64031	[-1, -2, -1, -2, -2, -3, -1, -1, -2, -2]
>;(	negative	-0,725	-2,9	0.7	[-3, -4, -3, -2, -2, -3, -3, -3, -2, -4]
>;)	positive	0,025	0,1	1.04403	[-1, 1, 0, -1, 2, 0, -1, 1, 1, -1]
>_>^	positive	0,525	2,1	0.9434	[2, 2, 1, 4, 3, 2, 1, 3, 1, 2]
@:	negative	-0,525	-2,1	0.9434	[-3, -2, -3, -1, -2, -4, -1, -2, -1, -2]
@>-->--	positive	0,525	2,1	1.22066	[1, 1, 0, 2, 4, 2, 4, 2, 3, 2]
@}-;-'---	positive	0,55	2,2	1.32665	[0, 1, 3, 2, 1, 4, 4, 1, 3, 3]
aas	positive	0,625	2,5	0.80623	[2, 3, 3, 4, 1, 2, 3, 2, 2, 3]
aayf	positive	0,675	2,7	0.78102	[2, 3, 2, 4, 3, 2, 2, 3, 4, 2]
afu	negative	-0,725	-2,9	0.83066	[-3, -3, -3, -3, -3, -1, -4, -4, -2, -3]
alol	positive	0,7	2,8	0.74833	[2, 2, 2, 3, 3, 2, 3, 4, 4, 3]
ambw	positive	0,725	2,9	0.7	[2, 3, 4, 2, 3, 2, 3, 3, 4, 3]
aml	positive	0,85	3,4	0.66332	[4, 3, 2, 4, 3, 3, 4, 4, 3, 4]
atab	negative	-0,475	-1,9	1.22066	[-2, 0, -1, -2, -1, -1, -2, -4, -4, -2]
awol	negative	-0,325	-1,3	0.78102	[0, -1, -1, -1, -1, -1, -2, -2, -3, -1]
ayc	positive	0,05	0,2	0.9798	[0, 1, -1, 1, 0, 1, 0, -1, 2, -1]
ayor	negative	-0,3	-1,2	0.6	[-1, -1, -2, -2, -1, -1, -1, 0, -2, -1]
aug-00	positive	0,075	0,3	1.18743	[2, 0, -2, 0, 0, 1, -1, 2, 1, 0]
bfd	negative	-0,675	-2,7	0.78102	[-3, -2, -4, -2, -3, -2, -3, -2, -4, -2]
bfe	negative	-0,65	-2,6	1.35647	[-3, -3, -4, -2, -3, -2, 1, -3, -4, -3]
bff	positive	0,725	2,9	0.83066	[3, 3, 4, 2, 4, 2, 2, 3, 4, 2]
bffn	positive	0,25	1	0.89443	[2, 1, -1, 1, 0, 1, 2, 1, 2, 1]
bl	positive	0,575	2,3	1.1	[2, 1, 4, 1, 2, 2, 4, 3, 1, 3]
bsod	negative	-0,55	-2,2	1.07703	[-1, -4, -3, -3, 0, -2, -3, -2, -2, -2]
btd	negative	-0,525	-2,1	0.83066	[-1, -2, -3, -3, -3, -1, -3, -2, -1, -2]
btdt	negative	-0,025	-0,1	1.22066	[0, -1, 0, -1, 0, 3, 1, -1, -1, -1]
bz	positive	0,1	0,4	1.35647	[-1, 0, 0, 0, 4, 1, -1, 1, 0, 0]
b^d	positive	0,65	2,6	0.8	[3, 2, 2, 4, 3, 1, 3, 3, 3, 2]
cwot	negative	-0,575	-2,3	0.45826	[-3, -2, -2, -2, -2, -3, -2, -3, -2, -2]
d-':	negative	-0,625	-2,5	0.67082	[-3, -3, -2, -2, -2, -4, -2, -3, -2, -2]
d8	negative	-0,8	-3,2	0.6	[-3, -3, -3, -3, -4, -4, -2, -3, -3, -4]
d:	negative	-0,725	-2,9	0.83066	[-3, -3, -3, -3, -2, -4, -1, -3, -3, -4]
d:<	negative	-0,8	-3,2	0.9798	[-4, -4, -4, -1, -3, -3, -4, -2, -3, -4]
d;	negative	-0,725	-2,9	0.83066	[-1, -3, -3, -3, -3, -4, -2, -3, -3, -4]
d=	negative	-0,75	-3	0.89443	[-4, -3, -3, -3, -2, -4, -1, -3, -3, -4]
doa	negative	-0,575	-2,3	1.00499	[-2, -3, -3, -2, -2, -2, -4, 0, -2, -3]
dx	negative	-0,75	-3	0.63246	[-3, -2, -3, -3, -4, -3, -4, -2, -3, -3]
ez	positive	0,375	1,5	0.67082	[3, 2, 2, 1, 1, 1, 2, 1, 1, 1]
fav	positive	0,6	2,4	0.91652	[3, 1, 3, 2, 2, 3, 1, 2, 3, 4]
fcol	negative	-0,45	-1,8	0.74833	[-2, -2, -1, -2, -1, -2, -1, -3, -3, -1]
ff	positive	0,45	1,8	1.249	[4, 2, 1, 2, 1, 3, 3, 0, 2, 0]
ffs	negative	-0,7	-2,8	0.9798	[-2, -2, -3, -3, -2, -4, -4, -4, -1, -3]
fkm	negative	-0,6	-2,4	1.35647	[-4, -1, -4, -2, -2, -3, -1, 0, -3, -4]
foaf	positive	0,45	1,8	1.249	[2, 1, 2, 0, 4, 1, 1, 1, 2, 4]
ftw	positive	0,5	2	0.7746	[2, 1, 1, 2, 2, 2, 3, 3, 1, 3]
fu	negative	-0,925	-3,7	0.45826	[-3, -4, -4, -3, -3, -4, -4, -4, -4, -4]
fubar	negative	-0,75	-3	1.09545	[-4, -3, -3, -4, -3, -3, -3, -4, 0, -3]
fwb	positive	0,625	2,5	1.43178	[2, 3, 4, 0, 1, 2, 4, 1, 4, 4]
fyi	positive	0,2	0,8	1.66132	[0, 1, 0, -1, 0, 0, 4, 4, 0, 0]
fysa	positive	0,1	0,4	0.91652	[0, 0, 0, 1, 0, 3, 0, 0, 0, 0]
g1	positive	0,35	1,4	0.4899	[2, 1, 1, 1, 2, 1, 2, 1, 1, 2]
gg	positive	0,3	1,2	0.74833	[0, 2, 2, 1, 0, 1, 2, 2, 1, 1]
gga	positive	0,425	1,7	0.45826	[2, 2, 1, 2, 2, 1, 2, 2, 1, 2]
gigo	negative	-0,15	-0,6	1.11355	[-2, -1, 1, 0, 0, 0, -1, -2, -2, 1]
gj	positive	0,5	2	1.0	[2, 1, 2, 1, 1, 3, 4, 2, 3, 1]
gl	positive	0,325	1,3	0.64031	[1, 1, 1, 1, 3, 1, 1, 2, 1, 1]
gla	positive	0,625	2,5	0.92195	[1, 2, 2, 4, 2, 4, 2, 3, 3, 2]
gn	positive	0,3	1,2	0.74833	[1, 1, 1, 1, 3, 1, 1, 2, 1, 0]
gr8	positive	0,675	2,7	0.78102	[1, 3, 3, 4, 3, 2, 3, 2, 3, 3]
grrr	negative	-0,1	-0,4	1.42829	[-2, -1, 0, 1, -2, -1, -1, 3, 0, -1]
gt	positive	0,275	1,1	0.53852	[1, 1, 1, 1, 1, 1, 2, 1, 0, 2]
h&k	positive	0,575	2,3	0.78102	[2, 2, 2, 3, 4, 2, 3, 2, 1, 2]
hagd	positive	0,55	2,2	0.87178	[2, 2, 3, 2, 1, 3, 4, 1, 2, 2]
hagn	positive	0,55	2,2	0.87178	[2, 2, 3, 2, 1, 3, 4, 1, 2, 2]
hago	positive	0,3	1,2	0.4	[1, 2, 1, 1, 1, 2, 1, 1, 1, 1]
hak	positive	0,475	1,9	0.7	[3, 1, 2, 2, 1, 2, 3, 2, 1, 2]
hand	positive	0,55	2,2	0.87178	[2, 2, 1, 3, 2, 3, 4, 1, 2, 2]
heart	positive	0,8	3,2	0.63246	[3, 3, 4, 3, 4, 2, 3, 4, 3, 3]
hearts	positive	0,825	3,3	0.48305	[4, 3, 3, 3, 4, 3, 3, 3, 4, 3]
hho1/2k	positive	0,35	1,4	1.11355	[1, -1, 2, 3, 1, 1, 1, 2, 3, 1]
hhoj	positive	0,5	2	1.09545	[4, 2, 1, 1, 2, 1, 1, 4, 2, 2]
hhok	positive	0,225	0,9	0.9434	[1, 2, 1, 0, -1, 0, 2, 1, 1, 2]
hugz	positive	0,5	2	0.7746	[2, 3, 1, 3, 1, 3, 1, 2, 2, 2]
hi5	positive	0,475	1,9	0.53852	[2, 2, 2, 1, 3, 2, 1, 2, 2, 2]
