term	valence	score	VADER-score	standard deviation	human raters
handsomest	positive	0,65	2,6	0.91652	[3, 2, 1, 2, 3, 4, 4, 3, 2, 2]
hapless	negative	-0,35	-1,4	1.11355	[-3, -1, -1, -1, -2, -1, 1, -2, -3, -1]
haplessness	negative	-0,35	-1,4	1.0198	[-1, -2, 0, -1, -1, -1, -1, -2, -1, -4]
happier	positive	0,6	2,4	0.66332	[3, 1, 2, 3, 2, 2, 3, 3, 3, 2]
happiest	positive	0,8	3,2	0.74833	[4, 3, 2, 4, 4, 3, 3, 3, 2, 4]
happily	positive	0,65	2,6	0.91652	[4, 1, 2, 4, 2, 3, 2, 2, 3, 3]
happiness	positive	0,65	2,6	0.4899	[2, 3, 3, 3, 3, 2, 2, 3, 2, 3]
happing	positive	0,275	1,1	0.83066	[1, 1, 1, 0, 2, 2, 0, 2, 0, 2]
happy	positive	0,675	2,7	0.9	[2, 2, 2, 4, 2, 4, 3, 4, 2, 2]
harass	negative	-0,55	-2,2	0.6	[-2, -3, -2, -2, -2, -3, -2, -3, -1, -2]
harassed	negative	-0,625	-2,5	0.80623	[-4, -2, -3, -3, -2, -2, -3, -2, -3, -1]
harasser	negative	-0,6	-2,4	0.8	[-3, -2, -2, -3, -2, -2, -4, -2, -3, -1]
harassers	negative	-0,7	-2,8	0.6	[-3, -3, -2, -2, -3, -3, -3, -4, -2, -3]
harasses	negative	-0,625	-2,5	0.80623	[-3, -3, -2, -3, -2, -2, -4, -2, -3, -1]
harassing	negative	-0,625	-2,5	1.62788	[-2, -4, -3, -4, -3, -3, 2, -2, -3, -3]
harassment	negative	-0,625	-2,5	0.67082	[-2, -3, -2, -2, -3, -2, -4, -3, -2, -2]
harassments	negative	-0,65	-2,6	0.4899	[-3, -3, -2, -3, -2, -3, -3, -2, -2, -3]
hard	negative	-0,1	-0,4	1.2	[0, -1, 0, -1, 0, 1, -2, -1, -2, 2]
hardier	negative	-0,15	-0,6	1.68523	[-3, -2, -2, 1, 1, 2, 1, 0, -2, -2]
hardship	negative	-0,325	-1,3	1.84662	[-2, 2, -4, -1, -2, -3, -1, -2, 2, -2]
hardy	positive	0,425	1,7	1.00499	[1, 2, 1, 0, 2, 2, 4, 1, 2, 2]
harm	negative	-0,625	-2,5	0.80623	[-2, -2, -2, -3, -2, -1, -3, -3, -3, -4]
harmed	negative	-0,525	-2,1	0.83066	[-1, -4, -2, -2, -2, -2, -1, -2, -3, -2]
