term	valence	score	raw-score
vile	negative	-0.6975	2.21
enemy	negative	-0.695	2.22
headache	negative	-0.695	2.22
perish	negative	-0.695	2.22
traumatic	negative	-0.695	2.22
attacker	negative	-0.6925	2.23
executioner	negative	-0.6925	2.23
feces	negative	-0.6925	2.23
invader	negative	-0.6925	2.23
war	negative	-0.6925	2.23
asbestos	negative	-0.69	2.24
betrayal	negative	-0.69	2.24
bigotry	negative	-0.69	2.24
diseased	negative	-0.69	2.24
helpless	negative	-0.69	2.24
insecurity	negative	-0.69	2.24
lice	negative	-0.69	2.24
lifeless	negative	-0.69	2.24
afraid	negative	-0.6875	2.25
castration	negative	-0.6875	2.25
chemotherapy	negative	-0.6875	2.25
leprosy	negative	-0.6875	2.25
retarded	negative	-0.6875	2.25
alzheimers	negative	-0.685	2.26
arson	negative	-0.685	2.26
burglary	negative	-0.685	2.26
crucify	negative	-0.685	2.26
deformed	negative	-0.685	2.26
incompetence	negative	-0.685	2.26
shoplifter	negative	-0.685	2.26
violent	negative	-0.685	2.26
widower	negative	-0.685	2.26
depressed	negative	-0.6825	2.27
disgusting	negative	-0.6825	2.27
disloyal	negative	-0.6825	2.27
humiliation	negative	-0.6825	2.27
mutilation	negative	-0.6825	2.27
poisoning	negative	-0.6825	2.27
awful	negative	-0.68	2.28
convict	negative	-0.68	2.28
execution	negative	-0.68	2.28
widow	negative	-0.68	2.28
disown	negative	-0.6775	2.29
guilt	negative	-0.6775	2.29
harmful	negative	-0.6775	2.29
sick	negative	-0.6775	2.29
violation	negative	-0.6775	2.29
infestation	negative	-0.675	2.3
insecure	negative	-0.675	2.3
nag	negative	-0.675	2.3
shitty	negative	-0.675	2.3
unfriendly	negative	-0.675	2.3
anthrax	negative	-0.67	2.32
arthritis	negative	-0.67	2.32
barf	negative	-0.67	2.32
cannibalism	negative	-0.67	2.32
carjack	negative	-0.67	2.32
faggot	negative	-0.67	2.32
hag	negative	-0.67	2.32
hemorrhage	negative	-0.67	2.32
injury	negative	-0.67	2.32
jihad	negative	-0.67	2.32
malicious	negative	-0.67	2.32
obese	negative	-0.67	2.32
ransom	negative	-0.67	2.32
reek	negative	-0.67	2.32
ruin	negative	-0.67	2.32
thief	negative	-0.67	2.32
toothache	negative	-0.67	2.32
traitorous	negative	-0.67	2.32
unemployment	negative	-0.67	2.32
vandal	negative	-0.67	2.32
arrest	negative	-0.6675	2.33
bullshit	negative	-0.6675	2.33
dangerous	negative	-0.6675	2.33
discriminating	negative	-0.6675	2.33
dishonorable	negative	-0.6675	2.33
drown	negative	-0.6675	2.33
enraged	negative	-0.6675	2.33
fail	negative	-0.6675	2.33
grief	negative	-0.6675	2.33
hater	negative	-0.6675	2.33
hepatitis	negative	-0.6675	2.33
horrible	negative	-0.6675	2.33
sewage	negative	-0.6675	2.33
slaughter	negative	-0.6675	2.33
swastika	negative	-0.6675	2.33
swindler	negative	-0.6675	2.33
tsunami	negative	-0.6675	2.33
unfaithful	negative	-0.6675	2.33
unforgivable	negative	-0.6675	2.33
unsuccessful	negative	-0.6675	2.33
evil	negative	-0.665	2.34
malaria	negative	-0.665	2.34
crappy	negative	-0.6625	2.35
disgraceful	negative	-0.6625	2.35
hostile	negative	-0.6625	2.35
loneliness	negative	-0.6625	2.35
pickpocket	negative	-0.6625	2.35
stink	negative	-0.6625	2.35
terrorist	negative	-0.6625	2.35
toxic	negative	-0.6625	2.35
antichrist	negative	-0.66	2.36
deception	negative	-0.66	2.36
cruelty	negative	-0.6575	2.37
dishonor	negative	-0.6575	2.37
shithead	negative	-0.6575	2.37
unattractive	negative	-0.6575	2.37
anxiety	negative	-0.655	2.38
fatty	negative	-0.655	2.38
hatred	negative	-0.655	2.38
jailbird	negative	-0.655	2.38
jealous	negative	-0.655	2.38
rancid	negative	-0.655	2.38
lie	negative	-0.6525	2.39
suspect	negative	-0.6525	2.39
traitor	negative	-0.6525	2.39
decay	negative	-0.65	2.4
fecal	negative	-0.65	2.4
grave	negative	-0.65	2.4
misfortune	negative	-0.65	2.4
mourn	negative	-0.65	2.4
